kind,kwh_per_interval
charge,101.6786166666667
charge,130.63499999999988
charge,160.2541666666666
charge,207.33770000000004
charge,271.34375
charge,333.47569999999996
charge,365.71983333333344
charge,374.58624999999984
charge,396.2333000000001
charge,437.7341666666666
charge,474.635
charge,475.7283666666666
charge,477.1565499999999
charge,508.31500000000005
charge,556.9366333333332
charge,545.6381166666666
charge,520.8979166666666
charge,598.4656833333333
charge,620.0974499999999
charge,549.4591666666668
charge,510.52218333333326
charge,472.59070658435826
discharge,19.08196667659874
discharge,44.3776445275069
discharge,32.046378087275
discharge,2.630985393693038
discharge,18.65643061854348
discharge,52.870878218077564
discharge,44.87795773071241
discharge,38.259931861096845
discharge,17.658460816674847
discharge,6.332882544194661
discharge,3.9580623000076685
discharge,20.355450205462773
charge,2.3078154726071602
discharge,420.1461833333333
discharge,458.44333333333327
discharge,450.4332333333333
discharge,424.75699999999995
discharge,424.0816666666666
discharge,461.05516666666665
discharge,476.02961666666664
discharge,461.7733333333333
discharge,461.83781666666664
discharge,444.27945
discharge,423.1016666666667
discharge,450.1251666666667
discharge,468.8456
discharge,458.3633333333333
discharge,451.95603333333327
discharge,447.0254
discharge,455.01
discharge,491.07015
discharge,212.42815155296722
charge,793.0311038191228
charge,833.3333333333333
charge,56.61296712079434
charge,767.8755826608349
charge,804.1780379045999
charge,816.1417546381501
charge,791.2895986456016
charge,785.6766826179419
charge,749.8064355479949
charge,733.9980233714608
charge,760.5989282906954
charge,805.7449588770298
charge,818.4959939160069
charge,14.11359712108009
discharge,8.512446942558654
discharge,45.08548642501654
discharge,24.493587279275687
discharge,4.952137651430121
charge,5.607356604552592
discharge,9.904505632577582
discharge,8.721817483460427
discharge,19.365290324863963
charge,4.449921023098682
charge,9.55865071023834
discharge,16.804970807444647
discharge,22.65204388343352
discharge,12.14600238813216
charge,8.12784601725474
charge,24.887638602017148
charge,14.24004976531478
discharge,6.117720455452172
discharge,47.45159172424576
discharge,40.410942989496846
discharge,5.32034360506151
charge,17.605976311705547
discharge,23.96305462221676
discharge,25.598794802766747
discharge,34.21156963978922
discharge,35.62624956385105
discharge,50.03588426101646
discharge,32.451630908016114
discharge,41.04259421325162
discharge,68.08017056665119
discharge,29.54217326766053
discharge,26.20585726503481
discharge,15.588776326955895
charge,62.81909940590367
discharge,513.8281666666667
discharge,505.07499999999993
discharge,488.1533833333333
discharge,498.57025
discharge,512.9949999999999
discharge,470.96459999999996
discharge,455.58191666666664
discharge,492.80791666666664
discharge,519.1618833333333
discharge,487.51138333333324
discharge,414.67708333333337
discharge,358.2171666666666
discharge,304.1538
discharge,240.3637500000001
discharge,175.93338333333332
discharge,122.33441666666664
discharge,70.66708333333338
discharge,7.924433333333354
charge,15.694500000000062
charge,9.968333333333362
charge,42.031666666666524
charge,103.38178333333326
charge,142.27750000000003
charge,120.79418333333342
charge,144.09533333333331
charge,213.39499999999998
charge,234.43525
charge,286.1167833333333
charge,381.3325
charge,446.17056666666656
charge,500.1694666666667
charge,526.6199999999999
charge,484.9502666666666
charge,476.7139833333331
charge,509.1683333333333
charge,489.33816666666655
charge,445.2133166666666
charge,434.39583333333326
charge,482.1921
charge,497.35670000000005
charge,459.1233333333332
charge,430.56006666666667
charge,413.10236666666674
charge,423.71875
charge,477.22896666666657
charge,458.2036666666668
charge,344.682758999374
discharge,65.64912600752416
discharge,39.26530683545327
discharge,2.610570072124176
discharge,46.75482250252213
discharge,83.75412951339382
discharge,77.99282621311573
discharge,38.13899178818281
discharge,30.902438900819902
discharge,57.335866480626976
discharge,35.48676419765803
charge,3.9225622171503574
discharge,12.182675009536183
discharge,70.33995817218147
discharge,49.21281689611533
discharge,440.29575
discharge,415.3414263074658
discharge,460.5294666666667
discharge,451.8047333333333
discharge,428.87666666666667
discharge,429.8439333333333
discharge,445.2577333333333
discharge,462.0483333333333
discharge,472.79568333333333
discharge,459.4531666666667
discharge,440.86833333333334
discharge,454.37016666666665
discharge,455.3148166666666
discharge,439.4683333333333
discharge,447.7278833333333
discharge,457.8888333333333
discharge,470.62666666666667
discharge,401.039056499173
charge,60.32966721358207
charge,67.33657664572553
charge,15.024396365424252
discharge,14.100542763092506
discharge,28.544785667047336
discharge,7.350845622536667
charge,799.3230630256027
charge,794.4130991143597
charge,28.04834425717462
charge,812.9689182464059
charge,832.8981328588811
charge,798.6716627012906
charge,765.4786124041282
charge,793.3081869257637
charge,769.3341247745325
