date,plan_total_kwh,plan_cost_yuan_template,final_contract_total_kwh,adjust_cost_yuan_template,emergency_kwh,emergency_cost_yuan,total_cost_yuan,curtail_kwh,adjust_up_kwh,adjust_down_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan_natural,adjust_cost_yuan_natural
2025-09-11,55768.254710067136,35504.698792455194,57734.35548401186,3199.9401989304997,642.267943107847,3364.07362122185,42122.99922042435,1060.1770663774848,2063.7860070550128,97.68523311028707,9712.726609705262,9699.322944773374,35558.98540027201,3199.9401989304997
2025-09-12,32394.325772125307,18189.915246248795,32720.477363370275,502.13458351809777,0.0,0.0,18699.483983160742,17491.29956650414,326.15159124496665,0.0,9699.322944773374,9604.450064373366,18197.349399642644,502.13458351809777
2025-09-13,32999.68815587981,18538.014947065927,33129.37611279375,242.63473336193337,0.0,0.0,18713.5769285758,21172.472321747562,129.68795691393268,0.0,9604.450064373366,9837.040551761189,18470.942195213865,242.63473336193337
2025-09-14,58681.62626403443,37235.16489670331,63515.662509757734,5085.877940404207,0.0,0.0,42332.60174936003,0.0,4834.0362457233105,0.0,9837.040551761189,9492.674496624526,37246.72380895582,5085.877940404207
2025-09-15,54231.77607873389,34066.948870963344,59131.01511948734,6604.151224682417,0.0,0.0,40667.00299198956,915.3141738524118,4899.239040753441,0.0,9492.674496624526,8807.729791604594,34062.85176730715,6604.151224682417
2025-09-16,57875.233952152565,36192.0414067041,63113.22544437965,6830.98311901975,0.0,0.0,43034.73763850851,375.7239243780365,5237.991492227086,0.0,8807.729791604594,8657.2541772483,36203.75451948876,6830.983119019749
2025-09-17,57979.51067677025,36461.7761794775,64065.43772749364,7262.309092789776,0.0,0.0,43720.9435371819,136.88844284113623,6085.927050723387,0.0,8657.2541772483,8984.810463942675,36458.634444392126,7262.309092789776
2025-09-18,56888.32665230364,35842.676065537016,63018.13687967892,7067.138550229531,0.0,0.0,42964.96948251864,687.2030080922594,6129.810227375268,0.0,8984.810463942675,8595.65744188255,35897.83093228911,7067.138550229532
2025-09-19,32815.05051391748,18095.477662133126,33878.646699901015,1566.5542333856747,0.0,0.0,19668.5938318094,13445.599848654345,1063.5961859835393,0.0,8595.65744188255,9341.145280341814,18102.039598423726,1566.5542333856747
2025-09-20,32831.986751301156,18175.476821624805,33132.22823422072,604.1075126545961,0.0,0.0,18712.32368436384,13642.902075466056,392.06269498623055,91.8212120666661,9341.145280341814,9393.234516194798,18108.216171709246,604.1075126545961
2025-09-21,61961.07289673804,38088.6966945656,61922.017138753996,2794.078444657629,0.0,0.0,40891.6890413744,669.3430466991457,1851.1473484897035,1890.2031064737491,9393.234516194798,8844.267554282867,38097.61059671677,2794.078444657629
2025-09-22,61510.679312100336,37238.88226867953,63387.21213073199,5691.432004265458,206.08445615031798,926.1437963267288,43852.5923704408,260.0165530668384,3753.1399508341856,1876.6071322025273,8844.267554282867,8017.89026354401,37235.01656984861,5691.432004265458
2025-09-23,62999.42613112156,38758.94806642647,65675.2519038672,4853.7187119531445,440.5716340624491,2255.2171559767867,45868.80498347107,66.10335648592185,3227.1915879074168,551.3658151617724,8017.89026354401,8206.780405303818,38759.869115541136,4853.7187119531445
2025-09-24,59656.542245789766,37280.75711504941,64657.19416259904,6353.413641910006,0.0,0.0,43639.59606867235,0.0,5000.651916809275,0.0,8206.780405303818,8314.141458242902,37286.182426762345,6353.413641910005
2025-09-25,62995.38540901769,38480.81348204257,65241.7152498904,5757.122407391133,175.55748250969916,849.488434177224,45142.59063632018,1939.2474116299657,4102.486898607865,1856.1570577351486,8314.141458242902,8008.166889060647,38535.979794751824,5757.122407391133
2025-09-26,33548.87647164433,17801.699526253444,33373.633384315166,544.6885127367353,0.0,0.0,18355.792653349625,11857.507870344214,207.79918492742422,383.04227225658644,8008.166889060647,8337.982477773501,17811.10414061289,544.6885127367353
2025-09-27,33325.84433614723,18045.26101620349,34346.170327888016,1565.4316492621597,171.44189722696876,947.2984922222064,20491.313941262146,13404.932174867656,1020.3259917407881,0.0,8337.982477773501,8098.898278164839,17978.58379977778,1565.4316492621595
2025-09-28,67127.10720667883,41124.64941235594,68049.99209249116,3566.7031816339168,5.868333333333339,39.56136916666671,44725.62617570858,637.4617797195646,2492.906221786795,1570.0213359744657,8098.898278164839,8350.240185836452,41119.361624908,3566.7031816339168
2025-09-29,69391.33460030421,41952.45524180356,66613.41071628488,826.111008114683,140.44037806426206,935.04298403083,43706.84871487622,122.78484215715551,38.09986111851208,2816.023745137834,8350.240185836452,8365.205586340464,41945.69472273071,826.111008114683
2025-09-30,69094.85796821589,43459.49903917505,70247.07060078843,1689.990540797178,21.739757858886264,146.88467397356504,45301.858696190975,676.9140164917525,1359.1367013653385,206.92406879278974,8365.205586340464,8527.282553753554,43464.98348142023,1689.990540797178
2025-10-01,67720.047757869,40074.391382087335,63952.79326750903,1062.6074891751343,0.0,0.0,41130.8660092841,8938.547999964843,0.5918049372455698,3767.8462952972127,8527.282553753554,10367.838380781637,40068.25852010897,1062.607489175134
2025-10-02,66728.79439353038,39335.365016366544,62000.667964272616,1441.565365230755,0.0,0.0,40849.23581483596,6778.470382323011,15.888304416974279,4744.014733674729,10367.838380781637,10394.630004065693,39407.67044960521,1441.565365230755
2025-10-03,31516.874723460754,16864.987196671813,31417.0217510241,45.82711035026505,0.0,0.0,16922.16378334851,19831.264960220284,0.0,99.85297243665889,10394.630004065693,10603.464907407855,16876.336672998244,45.82711035026505
2025-10-04,32240.337260520188,17454.524401351617,32188.215140275228,24.920618658612923,0.0,0.0,17410.11839982936,15740.714019199526,0.0,52.1221202449629,10603.464907407855,10281.588314117243,17385.197781170747,24.920618658612923
2025-10-05,64367.184199400974,38845.15016193176,61429.61043019935,1001.6316637274961,0.0,0.0,39797.789608564024,3073.438433568076,176.25139584685803,3113.8251650484845,10281.588314117243,10189.196806683765,38796.15794483653,1001.6316637274962
2025-10-06,59555.94164812801,37755.268388996075,61284.619144214244,2839.5402052905606,0.0,0.0,40593.28062167396,111.47041373087234,1728.6774960862278,0.0,10189.196806683765,10093.671556942334,37753.7404163834,2839.5402052905606
2025-10-07,61633.9405163829,38714.3299360976,62846.13750599215,1539.2242507203296,0.0,0.0,40264.60147942609,992.9264105342687,1216.9438306592865,4.746841050037347,10093.671556942334,10384.56826667008,38725.377228705765,1539.2242507203296
2025-10-08,59193.81921710723,36448.1046180838,59739.59509912445,1592.0688932318444,0.0,0.0,38030.453967037305,291.9392727221626,1048.4325908459796,502.6567088287612,10384.56826667008,9524.886537831448,36438.38507380546,1592.0688932318444
2025-10-09,63631.74531985174,37376.172357071264,60014.06700463168,1729.4818300006593,0.0,0.0,39180.05829151426,216.0820735223246,450.7995022350359,4068.4778174550947,9524.886537831448,9699.711420289199,37450.5764615136,1729.481830000659
2025-10-10,31117.257965133125,16206.563010680467,31585.963507336066,777.2320562905453,0.0,0.0,16985.988821667084,18657.804623413824,471.1532350449472,2.4476928420087347,9699.711420289199,9550.388585428564,16208.756765376538,777.2320562905454
2025-10-11,32126.021699878416,16827.072560152817,32126.021699878416,0.0,0.0,0.0,16756.988833381653,14404.929347092213,0.0,0.0,9550.388585428564,9410.822647271027,16756.988833381653,0.0
2025-10-12,61773.665914588826,37862.46860965313,62268.997980343986,2198.2817709842266,20.929933333333338,98.03580773333336,40157.2398790802,152.47071524057014,1063.7987272317077,568.4666614765533,9410.822647271027,9274.620703845703,37860.92230036264,2198.2817709842266
2025-10-13,63470.289204237524,37473.90703463106,61295.583992243955,3311.2555773527674,0.0,0.0,40783.90909360352,115.05511248747223,1331.2800535855342,3505.985265579106,9274.620703845703,9583.973050864744,37472.65351625075,3311.2555773527674
2025-10-14,64023.34530640181,38795.774405437536,65002.50428149512,3604.053811214233,0.0,0.0,42414.8809260146,289.7551725899624,2884.7039190678943,1905.5449439745794,9583.973050864744,9556.957662459814,38810.82711480037,3604.0538112142326
2025-10-15,64751.53313221978,39326.71900098838,65273.37804178233,2160.5321226184747,0.0,0.0,41472.84679948932,14.057472033317026,1258.2740049058746,736.4290953433305,9556.957662459814,8946.203314031232,39312.31467687085,2160.532122618474
2025-10-16,64215.4737832083,39415.37483234664,67297.92094452314,4317.6584305819015,0.0,0.0,43802.534292459924,140.10174738312003,3082.4471613148407,0.0,8946.203314031232,9165.578271608105,39484.87586187803,4317.6584305819015
2025-10-17,30601.196980673987,15576.04435613657,31223.696122544476,1079.36564631637,12.209762499309907,47.39829802232106,16896.342566131505,12311.32344726503,622.4991418704869,0.0,9165.578271608105,8746.25246602967,15769.578621792813,1079.36564631637
2025-10-18,33024.01794140692,17077.8504635252,33176.39068702123,315.9465649971446,0.0,0.0,17187.39316395614,12755.544646483562,179.6194840323808,27.24673841807106,8746.25246602967,9221.094606255769,16871.446598958995,315.94656499714466
2025-10-19,66392.91669102813,40834.69980711835,67724.21208978597,2528.5476578504376,28.853517459771137,133.6472109083944,43438.347316015,40.81070542441262,1410.2362902333984,78.9408914755619,9221.094606255769,8910.376340110575,40776.15244725617,2528.5476578504376
