date,interval_index,scenario_id,scenario_net_kwh,center_forecast_kwh,actual_net_kwh
2025-03-20,58,2,101.671625,171.376367,36.09475
2025-03-20,59,2,21.720875,149.003267,41.25735
2025-03-20,60,2,-22.624792,141.245833,45.207083
2025-03-20,61,2,-82.709,110.283925,-16.20875
2025-03-20,62,2,-88.125808,90.944508,-54.7878
2025-03-20,63,2,-107.429792,49.227083,-67.5775
2025-03-20,64,2,-175.016292,10.511158,-135.713067
2025-03-20,65,2,-254.507042,-25.382133,-183.836567
2025-03-20,66,2,-283.317083,-61.77875,-163.85
2025-03-20,67,2,-170.023258,-70.5651,-109.937383
2025-03-20,68,2,-205.889933,-92.892875,-109.84115
2025-03-20,69,2,-386.683333,-124.559375,-159.577083
2025-03-20,70,2,-383.902917,-122.245042,-180.267617
2025-03-20,71,2,-308.752125,-129.075067,-209.235117
2025-03-20,72,2,-286.596458,-164.6375,-275.021667
2025-03-20,73,2,-287.498525,-201.7348,-354.021317
2025-03-20,74,2,-244.16305,-210.999933,-372.5568
2025-03-20,75,2,-179.786875,-201.429167,-304.28375
2025-03-20,76,2,-171.758967,-203.657883,-199.829433
2025-03-20,77,2,-178.404433,-183.293333,-173.098233
2025-03-20,78,2,-109.529167,-135.312708,-195.736667
2025-03-20,79,2,-76.264633,-93.066775,-138.075567
2025-03-20,80,2,1.178225,-59.483783,-90.300383
2025-03-20,81,2,69.786042,-35.728125,-95.11875
2025-03-20,82,2,93.776275,-24.175792,-102.199117
2025-03-20,83,2,57.941625,-31.106158,-104.792733
2025-03-20,84,2,43.865625,-10.105417,-86.655
2025-03-20,85,2,98.334067,14.268817,-28.355233
2025-03-20,86,2,148.5112,42.635467,18.5539
2025-03-20,87,2,129.622708,78.435208,39.517083
2025-03-20,88,2,122.432008,142.078108,70.293283
2025-03-20,89,2,134.877625,187.433508,126.358517
2025-03-20,90,2,194.721458,220.675417,180.644167
2025-03-20,91,2,298.105492,278.436567,197.318567
2025-03-20,92,2,367.675683,333.349967,248.806767
2025-03-20,93,2,368.93125,361.46625,340.1425
2025-03-20,94,2,413.705225,407.896542,402.782267
2025-03-20,95,2,452.946375,448.217208,452.45245
2025-03-20,96,2,488.110833,504.766667,507.324167
2025-03-20,97,2,492.980667,550.012583,562.26155
2025-03-20,98,2,544.664867,616.401542,599.067217
2025-03-20,99,2,625.321875,687.497708,630.75625
2025-03-20,100,2,635.669067,728.835483,688.73555
2025-03-20,101,2,677.1869,773.434717,742.724283
2025-03-20,102,2,763.328542,824.959583,787.412917
2025-03-20,103,2,843.718458,887.901767,843.23245
2025-03-20,104,2,864.712317,919.476667,873.855183
2025-03-20,105,2,928.262083,994.756458,904.72375
2025-03-20,106,2,1034.43575,1046.172842,973.09075
2025-03-20,107,2,933.6001,928.840025,873.003183
2025-03-20,108,2,697.2475,715.2775,682.353333
2025-03-20,109,2,693.035633,693.439208,697.997283
2025-03-20,110,2,731.738892,728.01295,739.308217
2025-03-20,111,2,713.694167,736.203333,709.241667
2025-03-20,112,2,727.232517,733.22685,714.422817
2025-03-20,113,2,728.948325,720.181425,744.974333
2025-03-20,114,2,702.8425,708.436667,763.206667
2025-03-20,115,2,714.083525,708.966792,746.718033
2025-03-20,116,2,714.224667,720.005933,714.2555
2025-03-20,117,2,694.454167,719.5425,699.463333
2025-03-20,118,2,727.760275,725.050642,721.8114
2025-03-20,119,2,715.516608,714.400725,728.491
2025-03-20,120,2,677.808333,704.648333,726.368333
2025-03-20,121,2,718.962842,728.9078,764.336517
2025-03-20,122,2,727.672675,732.816033,753.943817
2025-03-20,123,2,706.2775,724.384167,702.561667
2025-03-20,124,2,701.80835,724.059058,709.374483
