slot,label,slot_start_hhmm,mean,p10,p50,p90,min,max,shape,annex1_price
111,18:40-18:50,18:40,1.2521789041095899,1.11302,1.2613,1.36442,1.0452,1.449,1.6342767146787789,1.2522
112,18:50-19:00,18:50,1.2881276712328769,1.12432,1.2891,1.44486,1.0298,1.5733,1.6811951165446644,1.2881
113,19:00-19:10,19:00,1.346582739726027,1.1329,1.312,1.61684,1.0568,1.7497,1.7574875352875277,1.3466
114,19:10-19:20,19:10,1.352309315068494,1.1316,1.3118,1.6306400000000003,1.0646,1.7416,1.7649615541408499,1.3523
115,19:20-19:30,19:20,1.3444901369863018,1.12994,1.3062,1.59938,1.0109,1.6968,1.7547563824791055,1.3445
116,19:30-19:40,19:30,1.3482487671232877,1.1463999999999999,1.3114,1.6085000000000003,1.028,1.7686,1.7596619448486726,1.3483
117,19:40-19:50,19:40,1.3489506849315063,1.1372,1.3086,1.62626,1.0496,1.7113,1.7605780503075852,1.349
118,19:50-20:00,19:50,1.3473123287671245,1.1348,1.3086,1.62504,1.0708,1.7196,1.7584397557547764,1.3473
119,20:00-20:10,20:00,1.3481632876712326,1.14168,1.3079,1.6335600000000001,1.0643,1.7345,1.7595503816546125,1.3482
120,20:10-20:20,20:10,1.3513334246575337,1.13836,1.3106,1.63786,1.0675,1.7422,1.7636878743419997,1.3513
121,20:20-20:30,20:20,1.3400183561643844,1.1314199999999999,1.2996,1.6071600000000001,1.0473,1.7191,1.7489200541026875,1.34
122,20:30-20:40,20:30,1.3489093150684937,1.14368,1.3101,1.6179000000000001,1.048,1.7648,1.7605240565822564,1.3489
123,20:40-20:50,20:40,1.3952457534246572,1.17348,1.344,1.68524,1.1047,1.7936,1.820999889546776,1.3952
124,20:50-21:00,20:50,1.222633150684931,1.02898,1.1956,1.44752,0.9615,1.5304,1.5957151827115108,1.2226
125,21:00-21:10,21:00,0.9331597260273975,0.78036,0.9449,1.05518,0.6863,1.1515,1.2179100017717068,0.9332
126,21:10-21:20,21:10,0.9068391780821922,0.75944,0.9158,1.03424,0.6926,1.0946,1.183557834934155,0.9068
127,21:20-21:30,21:20,0.9371194520547952,0.7908999999999999,0.9455,1.06624,0.725,1.1779,1.2230780237067873,0.9371
128,21:30-21:40,21:30,0.9370676712328768,0.78964,0.9458,1.0621,0.6889,1.1765,1.2230104421565389,0.9371
129,21:40-21:50,21:40,0.9870958904109585,0.8351200000000001,0.9985,1.1235000000000002,0.7455,1.1925,1.2883045893516825,0.9871
130,21:50-22:00,21:50,0.7764457534246578,0.64228,0.7842,0.89052,0.5792,0.9669,1.0133753338828677,0.7764
131,22:00-22:10,22:00,0.42091753424657563,0.31664000000000003,0.4223,0.5225600000000001,0.2284,0.6333,0.549358979584743,0.4209
132,22:10-22:20,22:10,0.38586739726027397,0.28012,0.3833,0.49806,0.1958,0.5995,0.5036134215538428,0.3859
133,22:20-22:30,22:20,0.43682164383561634,0.33311999999999997,0.4365,0.5465599999999999,0.2565,0.6385,0.5701161700179671,0.4368
134,22:30-22:40,22:30,0.4198024657534247,0.32742,0.4151,0.5225,0.2457,0.6189,0.5479036520212074,0.4198
135,22:40-22:50,22:40,0.41858493150684895,0.32686000000000004,0.4161,0.5206000000000001,0.2409,0.6329,0.5463145916545358,0.4186
136,22:50-23:00,22:50,0.42405123287671237,0.33268,0.4248,0.53054,0.2551,0.6036,0.5534489148849188,0.4241
137,23:00-23:10,23:00,0.42366575342465757,0.32639999999999997,0.4237,0.51558,0.2688,0.6346,0.5529458077886302,0.4237
138,23:10-23:20,23:10,0.4247819178082191,0.33592,0.4234,0.51862,0.2408,0.5992,0.5544025656495252,0.4248
139,23:20-23:30,23:20,0.4240457534246576,0.33404,0.4251,0.5281600000000001,0.2646,0.5903,0.5534417633981201,0.424
140,23:30-23:40,23:30,0.42201342465753416,0.32017999999999996,0.421,0.51802,0.2657,0.625,0.5507892769444823,0.422
141,23:40-23:50,23:40,0.42401698630136964,0.32439999999999997,0.4254,0.5196000000000001,0.2763,0.6361,0.5534042180924266,0.424
142,23:50-24:00,23:50,0.42714904109589025,0.34234,0.4259,0.51704,0.257,0.6008,0.5574920079465632,0.4271
143,24:00-24:10,24:00,0.427578904109589,0.32806,0.4279,0.52944,0.2375,0.5967,0.5580530420859212,0.4276
