date,published_plan_kwh,published_plan_cost_yuan,natural_plan_kwh,natural_plan_cost_yuan,emergency_kwh,emergency_cost_yuan,natural_total_cost_yuan,surplus_kwh,soc_start_kwh,soc_end_kwh,forecast_mae_kwh,weekday_weight,residual_window_days,scenario_count
2025-05-21,59088.63137619362,36311.16460485805,59049.76742767529,36294.54638047161,0.0,0.0,36294.54638047161,4632.5894743827175,1811.8367411694348,1605.7294666315163,53.92163327546297,1.0,14,14
2025-05-22,59093.20222946185,36784.70548873377,59281.32892473019,36865.14846363051,0.0,0.0,36865.14846363051,3043.499238248748,1605.7294666315163,3408.783822149998,30.619414814814817,1.0,14,14
2025-05-23,26093.46355062227,14438.887748151621,26146.896022020603,14461.735472921548,0.0,0.0,14461.735472921548,17733.037357520574,3408.783822149998,3176.9757114055597,40.9126796875,1.0,14,14
2025-05-24,26551.572462089935,14794.169406424497,26369.8716287566,14716.474130091165,0.0,0.0,14716.474130091165,20465.685548671572,3176.9757114055597,3271.618061481481,55.26722905092592,1.0,14,14
2025-05-25,57729.11252248662,36088.23410302368,57708.913355819954,36079.59693935701,0.0,0.0,36079.59693935701,6273.0188229166615,3271.618061481481,3055.5741554796286,43.43361313657406,1.0,14,14
2025-05-26,57348.233093913346,35808.32100000813,57358.93309391335,35812.896320008134,0.0,0.0,35812.896320008134,207.05152808642538,3055.5741554796286,2298.824650442388,42.653521817129636,1.0,14,14
2025-05-27,56692.329743735434,35505.908015472945,56718.24557706877,35516.98962580628,0.0,0.0,35516.98962580628,3740.7155686597976,2298.824650442388,2587.903588515089,44.63473182870371,1.0,14,14
2025-05-28,56954.576225845594,35534.482882846794,56907.14039251226,35514.199320513464,0.0,0.0,35514.199320513464,858.6492990043347,2587.903588515089,2890.666724609057,46.5432505787037,1.0,14,14
2025-05-29,56789.26554894158,35752.71375704088,56968.65304894158,35829.419852040875,120.07773575000135,837.6622845920094,36667.08213663288,157.09442500000046,2890.666724609057,2056.0310589814817,43.128348842592594,1.0,14,14
2025-05-30,26637.621230821278,14220.508723445928,26643.58456415461,14223.058644779261,0.0,0.0,14223.058644779261,17569.125826234565,2056.0310589814817,2176.9780385050967,36.536112499999994,1.0,14,14
2025-05-31,26783.734018670984,14378.3286126633,26623.31318533765,14309.732664329968,427.548122583334,1810.2933154703778,16120.025979800346,15786.499026517486,2176.9780385050967,2994.203172997221,37.78010046296296,1.0,14,14
