date,time_start,price_yuan_per_kwh,forecast_net_kwh,actual_net_kwh,committed_plan_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,emergency_kwh,surplus_kwh
2025-07-24,05:20,0.4439,620.0865520833332,684.2461166666667,694.0004708333332,9.75435416666657,0.0,9841.486316435192,9850.265235185192,0.0,0.0
2025-07-24,05:30,0.4301,585.8651562499999,623.1374999999999,1438.4265625,815.2890625000001,0.0,9850.265235185192,10584.025391435192,0.0,0.0
2025-07-24,05:40,0.3713,555.6053541666666,569.43435,1408.18800625,239.97178729423064,0.0,10584.025391435192,10800.0,0.0,598.7818689557694
2025-07-24,05:50,0.5708,596.4109062499999,639.3403999999999,621.0281458333334,0.0,18.31225416666655,10800.0,10779.653050925926,0.0,0.0
2025-07-24,06:00,0.9099,680.468125,751.0483333333333,0.0,0.0,751.0483333333333,10779.653050925926,9945.154902777778,0.0,0.0
2025-07-24,06:10,0.9368,624.1720104166666,695.5796166666667,0.0,0.0,695.5796166666667,9945.154902777778,9172.288662037037,0.0,0.0
2025-07-24,06:20,0.8758,570.3870708333334,608.2745,0.0,0.0,608.2745,9172.288662037037,8496.428106481482,0.0,0.0
2025-07-24,06:30,0.8759,521.6686458333332,556.4116666666666,0.0,0.0,556.4116666666666,8496.428106481482,7878.192921296297,0.0,0.0
2025-07-24,06:40,0.8601,490.7199645833333,482.2700833333332,0.0,0.0,482.2700833333332,7878.192921296297,7342.337273148149,0.0,0.0
2025-07-24,06:50,0.8442,454.64677916666665,448.92588333333333,0.0,0.0,448.92588333333333,7342.337273148149,6843.530736111112,0.0,0.0
2025-07-24,07:00,0.8334,407.7732291666667,432.64791666666656,0.0,0.0,432.64791666666656,6843.530736111112,6362.810828703705,0.0,0.0
2025-07-24,07:10,0.8092,345.42030208333335,336.14616666666655,0.0,0.0,336.14616666666655,6362.810828703705,5989.315087962964,0.0,0.0
2025-07-24,07:20,0.7972,322.1792020833334,238.80336666666665,0.0,0.0,238.80336666666665,5989.315087962964,5723.97801388889,0.0,0.0
2025-07-24,07:30,0.7644,276.74328125,174.52041666666673,0.0,0.0,174.52041666666673,5723.97801388889,5530.066439814816,0.0,0.0
2025-07-24,07:40,0.6899,207.95655,125.21861666666666,0.0,0.0,125.21861666666666,5530.066439814816,5390.934643518519,0.0,0.0
2025-07-24,07:50,0.86,272.5593354166666,217.48363333333327,0.0,0.0,217.48363333333327,5390.934643518519,5149.286162037038,0.0,0.0
2025-07-24,08:00,1.1617,423.1744270833333,359.4675000000001,0.0,0.0,359.4675000000001,5149.286162037038,4749.877828703704,0.0,0.0
2025-07-24,08:10,1.1683,392.77456666666666,304.55268333333333,0.0,0.0,304.55268333333333,4749.877828703704,4411.485958333334,0.0,0.0
2025-07-24,08:20,1.0956,338.6070729166666,202.91516666666666,0.0,0.0,202.91516666666666,4411.485958333334,4186.024662037037,0.0,0.0
2025-07-24,08:30,1.0849,334.36859374999995,158.28875000000005,0.0,0.0,158.28875000000005,4186.024662037037,4010.1482731481483,0.0,0.0
2025-07-24,08:40,1.061,279.19778124999993,135.4641333333334,0.0,0.0,135.4641333333334,4010.1482731481483,3859.6325694444445,0.0,0.0
2025-07-24,08:50,1.043,246.46006458333332,135.33536666666657,0.0,0.0,135.33536666666657,3859.6325694444445,3709.259939814815,0.0,0.0
2025-07-24,09:00,1.036,236.74432291666676,125.73999999999978,0.0,0.0,125.73999999999978,3709.259939814815,3569.548828703704,0.0,0.0
2025-07-24,09:10,1.0147,213.6494291666666,61.85701666666682,0.0,0.0,61.85701666666682,3569.548828703704,3500.8188101851856,0.0,0.0
2025-07-24,09:20,0.9922,169.25552708333333,18.27596666666659,0.0,0.0,18.27596666666659,3500.8188101851856,3480.512180555556,0.0,0.0
