表,变体,日期,时间段/项目,值1,值2,单位,口径,来源
表1,4-3,2025-03-20,16:00-16:10,496.7605,496.7605,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-03-20,18:00-18:10,-0.0000,650.5127,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-03-20,20:00-20:10,680.4626,680.4626,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-03-20,全天购电量,65234.8084,66511.8568,kWh,模板行 00:10→次日00:10,payload
表1,4-3,2025-03-20,全天购电费/元（模板行口径）,40435.2029,1979.6756,元,模板行 00:10→次日00:10,"payload（4-2 为 PMAT·x 全额、无 min；4-3 为 p·min(x,q)）"
表1,4-3,2025-03-20,全天购电费/元（自然日口径）,40715.9565,1979.6756,元,自然日 00:00–24:00,summary daily
表2,4-3,2025-03-20,0:00-4:00,571.4427,453.2239,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-03-20,4:00-8:00,359.5019,5283.5724,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-03-20,8:00-12:00,4046.8325,3260.1663,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-03-20,12:00-16:00,6147.9058,254.7228,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-03-20,16:00-20:00,157.7837,6340.5118,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-03-20,20:00-24:00,9856.2036,1638.4518,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-03-20,0:00 储电量,10358.7749,,kWh,自然日 00:00–24:00,payload/summary
表2,4-3,2025-03-20,24:00 储电量,10239.3126,,kWh,自然日 00:00–24:00,payload/summary
表3,4-3,2025-03-20,10:00-10:10,5.3905,,kWh,自然日 00:00–24:00,payload emergency_segments
表3,4-3,2025-03-20,分段合计,5.3905,5.3905,kWh,自然日 00:00–24:00,payload（分段之和 vs 逐日合计）
表3,4-3,2025-03-20,当日紧急购电费/元,27.3057,,元,自然日 00:00–24:00,summary daily
—,4-3,2025-03-20,当日总费用/元,42722.9378,,元,自然日 00:00–24:00,summary daily
表1,4-3,2025-06-21,10:00-10:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-06-21,12:00-12:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-06-21,14:00-14:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-06-21,16:00-16:10,100.4849,100.4849,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-06-21,18:00-18:10,371.1088,371.1088,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-06-21,20:00-20:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
表1,4-3,2025-06-21,全天购电量,36362.3693,37170.5314,kWh,模板行 00:10→次日00:10,payload
表1,4-3,2025-06-21,全天购电费/元（模板行口径）,17583.9762,1356.2167,元,模板行 00:10→次日00:10,"payload（4-2 为 PMAT·x 全额、无 min；4-3 为 p·min(x,q)）"
表1,4-3,2025-06-21,全天购电费/元（自然日口径）,17092.5961,1356.2167,元,自然日 00:00–24:00,summary daily
表2,4-3,2025-06-21,0:00-4:00,292.0832,459.8231,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-06-21,4:00-8:00,1078.2671,1728.8052,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-06-21,8:00-12:00,10134.2658,0.0000,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-06-21,12:00-16:00,86.7012,0.0000,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-06-21,16:00-20:00,0.0000,5331.1153,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-06-21,20:00-24:00,4076.4088,2410.1913,kWh,自然日（充电量/放电量）,payload storage_blocks
表2,4-3,2025-06-21,0:00 储电量,2799.6237,,kWh,自然日 00:00–24:00,payload/summary
表2,4-3,2025-06-21,24:00 储电量,5867.3161,,kWh,自然日 00:00–24:00,payload/summary
表3,4-3,2025-06-21,（当日无紧急购电）,0.0000,0.0000,kWh,自然日 00:00–24:00,payload
表3,4-3,2025-06-21,当日紧急购电费/元,0.0000,,元,自然日 00:00–24:00,summary daily
—,4-3,2025-06-21,当日总费用/元,18448.8128,,元,自然日 00:00–24:00,summary daily
表1,4-3,2025-09-23,10:00-10:10,0.0000,0.0000,kWh,模板行 00:10→次日00:10,payload days[*].plan_kwh / adjusted_kwh
