date,plan_total_kwh,plan_cost_yuan,adjusted_total_kwh,adjusted_settlement_yuan,natural_settlement_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh,weekday_weight
2025-05-28,61113.41962924777,37414.14197582552,56424.523798736205,36128.45896932522,36105.57167932522,0.0,0.0,36105.57167932522,2281.864621388889,2466.580932746911,1.0
2025-05-29,59765.11559710034,36901.79015469158,57944.93745463751,36777.70280234151,36854.25852467484,0.0,0.0,36854.25852467484,2466.580932746911,2146.629637424073,1.0
2025-05-30,27261.19036934225,14820.212823919688,26878.906220303157,14616.818055750615,14619.367977083948,0.0,0.0,14619.367977083948,2146.629637424073,2360.8890450617328,1.0
2025-05-31,29422.859225590535,16434.972356359016,27319.79831534053,15341.999196146826,15273.403247813494,0.0,0.0,15273.403247813494,2360.8890450617328,2335.8337048490707,1.0
2025-06-01,75159.30773182442,46675.287294136506,71611.04286648604,49984.98239724759,49984.544463580925,2518.8751090833343,12773.229269541675,62757.7737331226,2335.8337048490707,1200.0,1.0
2025-06-02,77254.93692614892,48173.33784110028,70054.54097207254,49452.092189613366,49457.801718613366,2329.9112273333335,10840.084514264337,60297.8862328777,1200.0,1200.0,1.0
2025-06-03,72083.72668555596,45036.95193234807,70996.18005923524,46549.54782920862,46538.418246858884,1425.7676365833352,8351.403339147846,54889.82158600673,1200.0,1451.7352557407407,1.0
2025-06-04,82371.17067756139,52321.32939395841,74828.9037414079,50185.79256006784,50176.12688541757,32.20864166666672,222.23307516666705,50398.35996058424,1451.7352557407407,1625.9304729629648,1.0
2025-06-05,70873.13190645473,44459.36027896063,74472.1565149083,50222.22406739922,50277.470936885016,226.28151666666707,1523.294121095836,51800.765057980854,1625.9304729629648,1294.5617943518516,1.0
2025-06-06,35549.66077672668,20702.623846159368,35448.36524722313,21035.324055948866,21031.10055646307,171.5971546296301,1174.6553394837993,22205.755895946866,1294.5617943518516,1234.6054031069962,1.0
2025-06-07,36667.07464743688,20760.656982324923,36219.00804061863,21064.76634781473,20981.550399148062,0.0,0.0,20981.550399148062,1234.6054031069962,1581.2326331287097,1.0
2025-06-08,71263.48145641446,44872.05565908575,69466.92533351082,45815.231107725136,45816.6535903918,0.0,0.0,45816.6535903918,1581.2326331287097,1837.6812392592635,1.0
2025-06-09,80450.36211297667,50988.20164117009,77281.01988292401,49718.109152703226,49721.4996643699,0.0,0.0,49721.4996643699,1837.6812392592635,1780.4617302981942,1.0
2025-06-10,74840.4687442414,47112.66119683307,77970.45189414741,49716.62322875281,49720.365797752806,0.0,0.0,49720.365797752806,1780.4617302981942,1918.7273513807588,1.0
2025-06-11,80224.51072575629,51301.56605317841,82081.13055343324,54135.19590609008,54119.47733009008,9.470933333333392,63.66834933333373,54183.14567942341,1918.7273513807588,1943.172262584593,1.0
2025-06-12,78568.98671208108,49879.70794459595,78029.79652452965,49748.152003992654,49823.35437232599,0.0,0.0,49823.35437232599,1943.172262584593,2066.8765281026413,1.0
2025-06-13,35003.223701291645,20353.74716086492,35013.95620129164,20416.578583052422,20419.302038719088,0.0,0.0,20419.302038719088,2066.8765281026413,2147.6102412962964,1.0
2025-06-14,34763.48359436625,20534.65827070509,33953.80623322736,20333.22310290815,20238.687869574816,0.0,0.0,20238.687869574816,2147.6102412962964,1698.0822586012816,1.0
2025-06-15,75642.42263874435,48308.82028448508,79544.51383750238,51327.58119589943,51338.89425488006,0.0,0.0,51338.89425488006,1698.0822586012816,2990.043399282773,1.0
2025-06-16,77393.30994193113,49814.43710221659,79283.42464040933,51483.06632490727,51484.161505259966,0.0,0.0,51484.161505259966,2990.043399282773,3101.5915578621316,1.0
2025-06-17,79092.80578236532,51233.91550645481,80439.6254849277,52323.44206420674,52318.118444206746,0.0,0.0,52318.118444206746,3101.5915578621316,2639.2878047530853,1.0
2025-06-18,80340.9449131714,50857.651865504165,78829.4977583308,50531.999152654505,50539.91652298784,0.0,0.0,50539.91652298784,2639.2878047530853,3005.7817519043183,1.0
2025-06-19,74765.2166297717,47617.212188048405,75027.23440635132,51572.5033936509,51663.63706898423,0.0,0.0,51663.63706898423,3005.7817519043183,2703.1864020370385,1.0
2025-06-20,34188.161754104985,20468.89341618569,33957.290870771656,20326.18806180083,20348.170265134162,0.0,0.0,20348.170265134162,2703.1864020370385,2755.5176985253784,1.0
2025-06-21,34207.56439435863,20122.71412675384,33888.96429435864,19925.36209639787,19831.416951064533,0.0,0.0,19831.416951064533,2755.5176985253784,3145.611408847837,1.0
2025-06-22,74428.84662612718,47084.36381160877,72838.92980088967,46685.43085395136,46685.92972061803,0.0,0.0,46685.92972061803,3145.611408847837,3595.1896300298345,1.0
