policy,date,settlement_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
6+18,2025-09-15,36457.539830479924,2738.6106366351187,11183.041816346173,47640.5816468261,1200.0000000000027,1215.817592592593
6+18,2025-09-16,43244.615054984984,3027.784515888888,11292.817846480724,54537.43290146571,1215.817592592593,1200.0000000000034
6+18,2025-09-17,42777.04357453149,1647.199216666666,5545.55980550972,48322.60338004121,1200.0000000000034,1199.9999999999984
6+18,2025-09-18,42759.80332051749,1837.2312083333318,7801.244637745824,50561.04795826331,1199.9999999999984,1203.4120370370385
6+18,2025-09-19,18204.60037792719,1168.1462166666659,3481.4126873958303,21686.01306532302,1203.4120370370385,1199.999999999999
6+18,2025-09-20,18540.504749525146,886.0291999999995,3131.1159419291653,21671.62069145431,1199.999999999999,1200.000000000002
6+18,2025-09-21,43870.232731343625,633.2891126200273,2228.6597257825442,46098.89245712617,1200.000000000002,1200.0000000000005
6+18,2025-09-22,43426.0763755693,3287.88499722222,12427.736052990269,55853.81242855957,1200.0000000000005,1200.0000000000027
6+18,2025-09-23,43384.69293010058,2344.069471673524,9933.763594920962,53318.45652502154,1200.0000000000027,1199.999999999999
6+18,2025-09-24,38720.23655194237,4436.943873833333,17179.109879250493,55899.34643119286,1199.999999999999,1200.0000000000018
6+18,2025-09-25,43011.30464517964,2147.3655100277783,7835.2758592115015,50846.58050439114,1200.0000000000018,1214.227777777778
6+18,2025-09-26,18775.453417428223,603.5317388888883,2177.058205913887,20952.51162334211,1214.227777777778,1207.3630425000013
6+18,2025-09-27,20081.874929981954,731.9777083333333,2691.1903138069447,22773.0652437889,1207.3630425000013,1199.9999999999995
6+18,2025-09-28,48268.01469122898,641.5485472222224,2276.976129880557,50544.99082110953,1199.9999999999995,1199.9999999999998
6+18,2025-09-29,47146.19157569673,1647.9451388888879,7229.567935872219,54375.75951156895,1199.9999999999998,1200.000000000001
6+18,2025-09-30,48324.991169256224,685.035338888889,2870.8608897666672,51195.85205902289,1200.000000000001,1230.5851851851903
6+18,2025-10-01,44256.512341693786,93.57012500000019,203.57417319583374,44460.08651488962,1230.5851851851903,1200.0000000000002
6+18,2025-10-02,49752.676845900736,147.40819166666722,343.69478738333464,50096.37163328407,1200.0000000000002,1200.0000000000002
6+18,2025-10-03,17786.92707272724,747.0149055555555,3345.2637997847214,21132.190872511965,1200.0000000000002,1224.757484907408
6+18,2025-10-04,19336.64292790834,184.26310555555534,713.620902679166,20050.263830587504,1224.757484907408,1230.585185185187
6+18,2025-10-05,46807.3917518831,217.5338944444443,488.86647052638875,47296.25822240949,1230.585185185187,1200.0000000000007
6+18,2025-10-06,42104.487791344625,532.5721222222237,1724.4006537333391,43828.888445077966,1200.0000000000007,1200.0000000000002
6+18,2025-10-07,43414.97230711916,411.9392301783258,1530.89468375077,44945.86699086993,1200.0000000000002,1200.0000000000011
6+18,2025-10-08,42116.402617293046,366.74586158333415,1597.655390982184,43714.05800827523,1200.0000000000011,2454.3617301851878
6+18,2025-10-09,47612.91468211925,175.0941083333335,667.976708248611,48280.89139036786,2454.3617301851878,2260.7563864814815
6+18,2025-10-10,17905.45414098966,328.07756666666677,1120.025361108333,19025.47950209799,2260.7563864814815,2232.1022956481534
6+18,2025-10-11,17887.701427919226,229.8776083333339,827.3381137166696,18715.039541635895,2232.1022956481534,1884.4426912037004
6+18,2025-10-12,42485.537240626305,470.3871722222227,1808.7019658444467,44294.23920647075,1884.4426912037004,1497.7472540740762
6+18,2025-10-13,43320.83630942604,284.643208333333,1072.7193992805546,44393.5557087066,1497.7472540740762,1308.3687630555582
6+18,2025-10-14,45064.5613494607,1084.4403354722206,4380.825344009256,49445.38669346996,1308.3687630555582,1222.0067175000001
6+18,2025-10-15,44677.603531580986,609.3078807270235,2789.642655251356,47467.246186832344,1222.0067175000001,1201.5231481481508
6+18,2025-10-16,43029.729524114744,1078.0236611111113,4889.83177305278,47919.56129716752,1201.5231481481508,1202.1722172222264
6+18,2025-10-17,16954.152892462083,741.6031203333316,2899.9135479808697,19854.06644044295,1202.1722172222264,1204.0252499999997
6+18,2025-10-18,17829.167613449456,353.47013333333325,1122.9285135833343,18952.09612703279,1204.0252499999997,1200.0000000000023
6+18,2025-10-19,45416.776768720665,613.0487155833325,2969.522564114176,48386.29933283484,1200.0000000000023,1200.0000000000011
6+18,2025-10-20,48569.73261175657,343.56756183127595,1464.4249518573586,50034.157563613924,1200.0000000000011,1216.3231481481482
6+18,2025-10-21,47474.45048187876,294.85534999999976,815.8477554333326,48290.29823731209,1216.3231481481482,1214.9656759259296
