policy,date,plan_cost_yuan,adjustment_fee_yuan,settlement_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,soc_start_kwh,soc_end_kwh
6+12+18,2025-06-12,51397.089047190224,1700.4814346027085,53172.341330459596,400.55024444444496,1585.648770873613,54757.99010133321,1201.1212962962948,1200.0000000000005
6+12+18,2025-06-13,21574.059151228175,98.53440820291603,21674.625728431092,475.219155555555,1905.6760922513872,23580.301820682478,1200.0000000000005,1200.0000000000005
6+12+18,2025-06-14,22242.443372079062,180.30956719333375,22328.217705939063,544.8186694444439,2062.2288771902745,24390.44658312934,1200.0000000000005,1246.6207312962958
6+12+18,2025-06-15,50842.845118409845,2423.2703336295995,53273.02190470611,273.20023333333364,1065.36332091389,54338.385225620004,1246.6207312962958,1200.0
6+12+18,2025-06-16,52899.988032817106,1725.3758562454518,54624.61024406256,299.953827777778,1156.444158477778,55781.05440254034,1200.0,1274.632642932103
6+12+18,2025-06-17,54387.14795567263,2318.351075929985,56703.13654160262,333.20220277777787,1229.9793244263888,57933.115866029,1274.632642932103,1295.9137142283948
6+12+18,2025-06-18,53582.83720178506,3669.293389811722,57259.531991263444,285.55100555555566,1196.3966532388895,58455.92864450233,1295.9137142283948,1257.6290249999977
6+12+18,2025-06-19,50530.88551368199,3990.0805375869286,54610.41070660225,382.4133666666671,1729.4642442000018,56339.87495080225,1257.6290249999977,1262.7299250000012
6+12+18,2025-06-20,22018.128051438372,0.0,22027.89906777171,213.13191388888845,553.5482487402755,22581.447316511985,1262.7299250000012,1243.7944444444447
6+12+18,2025-06-21,21533.879301559256,0.0,21423.080302225924,188.66383888888907,455.8001004361116,21878.880402662035,1243.7944444444447,1220.9262236111115
6+12+18,2025-06-22,49422.17282212012,2672.627324799896,52099.88431092002,411.47113888888805,1752.830833129164,53852.71514404918,1220.9262236111115,1214.0874300000044
6+12+18,2025-06-23,51062.53270413524,0.0,51069.272036468574,278.4357136944375,868.0662547328573,51937.33829120143,1214.0874300000044,1215.6619725
6+12+18,2025-06-24,58204.358730856104,0.0,58193.60708518944,308.2642722222224,1168.6951709013888,59362.30225609083,1215.6619725,1208.307495
6+12+18,2025-06-25,53248.82742908712,391.2992212538634,53634.49230767432,366.10476111111154,1696.122923950003,55330.615231624324,1208.307495,1515.8185575000014
6+12+18,2025-06-26,51400.09769436337,0.0,51475.80356169671,187.67250277777816,693.0676166555568,52168.87117835227,1515.8185575000014,1524.3856094444432
6+12+18,2025-06-27,23956.306555094754,0.0,23963.15528176142,86.01803888888878,254.3144366361108,24217.469718397533,1524.3856094444432,1829.4664734567916
6+12+18,2025-06-28,20489.368807461142,79.50742983499988,20522.79806129614,267.66343189300403,935.6224881570472,21458.42054945319,1829.4664734567916,1204.55475
6+12+18,2025-06-29,46855.45566999921,3322.0090366940576,50182.831086693266,701.4393551097392,2330.5580331473247,52513.38911984059,1204.55475,1234.7915405555552
6+12+18,2025-06-30,51137.48991977793,528.9412725758298,51667.0034636871,556.3206444444445,2410.4356564152786,54077.439120102375,1234.7915405555552,1217.4672900000003
6+12+18,2025-07-01,45230.19996516135,605.845071102503,45820.00967993052,9735.874794161185,35822.572980728146,81642.58266065866,1217.4672900000003,1202.5555555555557
6+12+18,2025-07-02,43577.690972809505,0.15025611666657449,43583.37544192617,7946.5819201282575,29334.413599376276,72917.78904130244,1202.5555555555557,1200.0000000000002
6+12+18,2025-07-03,49699.51290790668,1625.494165484948,51347.512374058286,6125.682155444445,21670.201198705472,73017.71357276375,1200.0000000000002,1200.0000000000002
6+12+18,2025-07-04,22524.195103677386,1295.9409949813935,23833.288718325442,2637.8177938055546,9510.246168245387,33343.53488657083,1200.0000000000002,1200.0000000000014
6+12+18,2025-07-05,24309.854951972426,382.31491619093373,24621.726687830025,1787.5859083333344,6527.814797650003,31149.54148548003,1200.0000000000014,1200.0000000000005
6+12+18,2025-07-06,52768.338899741095,5202.00701440643,57971.121651814196,1194.0535200277795,5079.472321561119,63050.59397337532,1200.0000000000005,1200.0000000000002
6+12+18,2025-07-07,53787.08890467574,732.3478843239726,54512.20108433304,1202.2091000000014,4612.981921865283,59125.18300619833,1200.0000000000002,1200.0000000000002
6+12+18,2025-07-08,57925.8063593776,731.2606562759187,58641.82806432019,307.45552222222193,1247.1628053847207,59888.99086970491,1200.0000000000002,1200.0000000000002
6+12+18,2025-07-09,58241.28472328531,387.4100499608336,58642.05406624613,300.57985630555544,1528.388766306346,60170.44283255247,1200.0000000000002,1199.9999999999984
6+12+18,2025-07-10,54116.11615055399,1223.2450579083293,55396.369553128985,448.71702777777733,1441.685505831941,56838.05505896093,1199.9999999999984,1202.0935575
6+12+18,2025-07-11,28329.199706287596,0.0,28338.503213287597,439.6627888888886,1584.4343363291664,29922.937549616763,1202.0935575,1200.0000000000005
6+12+18,2025-07-12,31141.477378052237,1086.1683469564064,32166.266595675308,13.697499999999536,29.285254999999008,32195.551850675307,1200.0000000000005,1203.3198750000001
6+12+18,2025-07-13,56311.983798814894,0.0,56314.77335431489,420.3928055555556,1943.3358762690991,58258.10923058399,1203.3198750000001,1200.0000000000002
6+12+18,2025-07-14,52896.393684221504,236.188148428331,53102.95111248316,327.37882827777696,1608.710106754703,54711.66121923787,1200.0000000000002,1275.2084936111119
6+12+18,2025-07-15,58328.63839598789,0.0,58323.19478073789,3.5067187500003456,7.662413411459088,58330.85719414935,1275.2084936111119,1200.0000000000002
6+12+18,2025-07-16,56922.50812164453,0.0,56940.49306672787,176.55438075274316,466.0323656599918,57406.52543238786,1200.0000000000002,1204.7877825
6+12+18,2025-07-17,54315.36499339361,2422.697057023384,56784.75374333366,175.45340902777735,736.6316952069424,57521.3854385406,1204.7877825,1201.2104897222243
6+12+18,2025-07-18,37472.39840965775,0.0,37475.143779824415,0.0,0.0,37475.143779824415,1201.2104897222243,1237.655422777779
6+12+18,2025-07-19,36543.009298330304,0.0,36497.0118318303,0.0,0.0,36497.0118318303,1237.655422777779,1360.0399068981474
6+12+18,2025-07-20,56349.62799979492,53.793415906666866,56407.81473845158,86.43454583333362,411.889794526043,56819.70453297762,1360.0399068981474,1367.2470318981498
6+12+18,2025-07-21,54321.23543387375,180.6662649950632,54482.513602202154,448.3095722222215,1654.368907830552,56136.88251003271,1367.2470318981498,1219.1269368750002
6+12+18,2025-07-22,54411.0106772606,9472.51235479889,63898.739267142824,130.51357361111144,515.1695430743072,64413.90881021713,1219.1269368750002,1302.9168698456817
6+12+18,2025-07-23,59628.332768776265,246.13317061068545,59888.62822955362,338.0669645833326,1479.4316153815957,61368.05984493522,1302.9168698456817,1251.1520479312514
6+12+18,2025-07-24,61965.15777437737,0.0,62004.9826567107,56.57796874999946,205.49698997083166,62210.47964668153,1251.1520479312514,1816.4141821450623
6+12+18,2025-07-25,31348.546868261332,1229.7008483467512,32585.32984160808,14.615050694444491,50.41461737048627,32635.744458978566,1816.4141821450623,1296.4063941187505
6+12+18,2025-07-26,30601.810965171386,354.54752872953867,30903.359077400924,9.616874999999936,21.051339374999863,30924.410416775925,1296.4063941187505,1205.6900081250014
6+12+18,2025-07-27,51110.605346955475,2263.514419055319,53375.69306676079,1164.1439830347222,4453.061346328081,57828.75441308887,1205.6900081250014,1200.0000000000002
6+12+18,2025-07-28,52723.897028436695,2242.662677156135,54959.83159775949,1059.6823139746216,4206.435959706919,59166.26755746641,1200.0000000000002,1243.7507831249995
6+12+18,2025-07-29,51751.52472063079,6085.676313872373,57844.64742125316,318.1329804513921,1504.3359264193105,59348.983347672474,1243.7507831249995,1222.4494481249992
6+12+18,2025-07-30,48207.208863437074,7661.594789191798,55872.43762904555,469.07207065971784,1814.4073975017047,57686.84502654725,1222.4494481249992,1240.5821775000013
6+12+18,2025-07-31,50128.896413360824,2697.414964729397,52883.788390173555,1254.6791013888883,5196.432933246175,58080.221323419726,1240.5821775000013,1280.3551227937512
6+12+18,2025-08-01,31973.32867290954,0.0,31957.195146742873,1.782518750000122,3.8618268718752646,31961.056973614748,1280.3551227937512,1476.4379562499998
6+12+18,2025-08-02,34350.583124302895,0.0,34302.5652478029,0.0,0.0,34302.5652478029,1476.4379562499998,1326.330956064815
6+12+18,2025-08-03,48077.96396241849,309.28208773145406,48383.73536506661,669.5322777777785,2898.000484413891,51281.7358494805,1326.330956064815,1608.7913779938294
6+12+18,2025-08-04,51348.78925811339,120.72386206829074,51465.50009418168,461.9559527777791,1869.746384497228,53335.24647867891,1608.7913779938294,1320.224208425926
6+12+18,2025-08-05,49534.45881266077,203.14330321666696,49751.637729544105,254.2284651111121,1173.0481414736155,50924.68587101772,1320.224208425926,1352.5405429629634
6+12+18,2025-08-06,54660.380522290645,0.0,54667.05963429064,142.55278333333342,427.45507986250027,55094.51471415314,1352.5405429629634,1233.7390514814817
6+12+18,2025-08-07,53655.47654611287,405.77847629875197,54132.258715078286,325.3413861111123,932.6206148597256,55064.87932993801,1233.7390514814817,1221.790740740741
6+12+18,2025-08-08,25045.151066382445,0.0,25038.36434171578,104.96468672839467,503.4185882080224,25541.782929923804,1221.790740740741,1221.790740740745
6+12+18,2025-08-09,25411.825367253023,0.0,25328.704559586356,206.98960555555578,808.774753843055,26137.479313429412,1221.790740740745,1200.0000000000005
6+12+18,2025-08-10,50788.539568998116,0.0,50801.53504566479,213.50552499999958,757.9574584958314,51559.49250416062,1200.0000000000005,1202.5825733333336
6+12+18,2025-08-11,48927.16403725869,196.38470653270963,49114.09914012473,562.7746057499996,2198.2428426636225,51312.341982788355,1202.5825733333336,1201.233
6+12+18,2025-08-12,52214.46172663316,670.8215603888877,52896.74189802205,266.9785163333321,965.022901833659,53861.76479985571,1201.233,1200.0000000000002
6+12+18,2025-08-13,47398.83373853068,114.28508290750521,47510.650500438176,657.1259916666659,2759.1338898361073,50269.78439027428,1200.0000000000002,1200.0000000000018
6+12+18,2025-08-14,48947.83804157032,974.7687843882003,49997.29072929185,369.50531666666586,1689.3619906916633,51686.65271998352,1200.0000000000018,1200.0
6+12+18,2025-08-15,25369.962307131704,0.0,25377.14028579837,402.1435166666672,1233.1383523458342,26610.278638144206,1200.0,1200.0000000000007
6+12+18,2025-08-16,26692.124724143578,70.2278448433332,26669.103698986906,469.7873055555556,1802.1331603111107,28471.236859298016,1200.0000000000007,1202.9307075000004
6+12+18,2025-08-17,49234.10853729901,553.2154465483336,49790.65676951401,457.9828500000024,2236.4763786152907,52027.1331481293,1202.9307075000004,1200.0000000000023
6+12+18,2025-08-18,48518.40152521254,0.0,48522.285202212544,429.3095055555555,1699.3969438250003,50221.68214603754,1200.0000000000023,1214.1675536111115
6+12+18,2025-08-19,47512.262863948235,0.0,47517.301773614905,633.3983182098775,2618.1763246395135,50135.47809825442,1214.1675536111115,1200.0000000000002
6+12+18,2025-08-20,51704.92616727248,718.948833874899,52416.30576848071,528.9722138888886,2087.043538916665,54503.34930739738,1200.0000000000002,1200.0
6+12+18,2025-08-21,49409.59126764478,727.0853046338199,50211.25892061194,405.00265277777817,1805.3156655124997,52016.574586124436,1200.0,1200.0000000000002
6+12+18,2025-08-22,25123.263779767112,0.0,25131.77301976711,711.5981379444449,2582.1290499071984,27713.90206967431,1200.0000000000002,1206.6768518518543
6+12+18,2025-08-23,24007.242771129957,635.8521704940495,24566.773330290674,506.0530833333308,1571.6168791208202,26138.390209411496,1206.6768518518543,1200.0000000000005
6+12+18,2025-08-24,47574.26712400374,290.19206415056004,47861.90962315429,425.51248086419815,1558.139608005556,49420.04923115985,1200.0000000000005,1200.0000000000002
6+12+18,2025-08-25,60894.40902747138,0.0,60900.30776947139,170.63614722222246,526.4431221944443,61426.75089166583,1200.0000000000002,1200.0000000000002
6+12+18,2025-08-26,48634.17072923637,1493.1598372394903,50138.79024647586,378.32827222222363,1359.9429267819505,51498.73317325781,1200.0000000000002,1200.000000000002
6+12+18,2025-08-27,48544.67399624235,6301.395496179499,54832.65425508852,198.46712777777822,825.171381393057,55657.825636481575,1200.000000000002,1208.8326075
