policy,date,time_start,price_yuan_per_kwh,initial_plan_kwh,final_contract_kwh,adjustment_fee_yuan,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,actual_net_kwh,emergency_kwh,surplus_kwh
6+12+18_frozen0,2025-11-01,05:50,0.5708,0.0,0.0,0.0,0.0,484.9207833333333,7359.067925925925,6820.267055555554,465.2955833333333,0.0,19.625200000000007
6+12+18_frozen0,2025-11-01,06:00,0.9099,0.0,0.0,0.0,0.0,490.13093611110907,6820.267055555554,6275.677126543211,459.4466666666666,0.0,30.684269444442464
6+12+18_frozen0,2025-11-01,06:10,0.9368,0.0,0.0,0.0,0.0,490.9950472222222,6275.677126543211,5730.127074074075,438.1898833333333,0.0,52.8051638888889
6+12+18_frozen0,2025-11-01,06:20,0.8758,0.0,0.0,0.0,0.0,472.2423861111113,5730.127074074075,5205.4133117283955,428.3485833333333,0.0,43.89380277777798
6+12+18_frozen0,2025-11-01,06:30,0.8759,0.0,0.0,0.0,0.0,506.69387499999976,5205.4133117283955,4642.420117283951,425.3333333333333,0.0,81.36054166666645
6+12+18_frozen0,2025-11-01,06:40,0.8601,0.0,0.0,0.0,0.0,450.3346972222221,4642.420117283951,4142.048231481483,400.04448333333335,0.0,50.29021388888873
6+12+18_frozen0,2025-11-01,06:50,0.8442,0.0,0.0,0.0,0.0,440.7531361111112,4142.048231481483,3652.322524691359,411.4300833333333,0.0,29.32305277777789
6+12+18_frozen0,2025-11-01,07:00,0.8334,0.0,0.0,0.0,0.0,433.1368666666667,3652.322524691359,3171.0593395061737,433.27250000000004,0.13563333333331684,0.0
6+12+18_frozen0,2025-11-01,07:10,0.8092,0.0,0.0,0.0,0.0,397.38920277777777,3171.0593395061737,2729.5157808641984,374.99653333333333,0.0,22.392669444444437
6+12+18_frozen0,2025-11-01,07:20,0.7972,0.0,0.0,0.0,0.0,341.57006388888874,2729.5157808641984,2349.993487654322,310.27256666666665,0.0,31.29749722222209
6+12+18_frozen0,2025-11-01,07:30,0.7644,0.0,0.0,0.0,0.0,303.0926916666667,2349.993487654322,2013.2238302469145,280.20208333333335,0.0,22.890608333333375
6+12+18_frozen0,2025-11-01,07:40,0.6899,0.0,0.0,0.0,0.0,238.29192777777774,2013.2238302469145,1748.4550216049392,248.97858333333332,10.686655555555575,0.0
6+12+18_frozen0,2025-11-01,07:50,0.86,0.0,0.0,0.0,0.0,195.07821111111116,1748.4550216049392,1531.7014537037046,175.0339333333333,0.0,20.044277777777864
6+12+18_frozen0,2025-11-01,08:00,1.1617,0.0,0.0,0.0,0.0,184.54931666666658,1531.7014537037046,1326.6466574074084,77.14666666666668,0.0,107.40264999999991
6+12+18_frozen0,2025-11-01,08:10,1.1683,0.0,0.0,0.0,0.0,100.73641944444444,1326.6466574074084,1214.7173024691367,18.27256666666661,0.0,82.46385277777783
6+12+18_frozen0,2025-11-01,08:20,1.0956,0.0,0.0,0.0,0.0,13.245572222222279,1214.7173024691367,1200.000000000001,-7.025533333333366,0.0,20.271105555555643
6+12+18_frozen0,2025-11-01,08:30,1.0849,0.0,0.0,0.0,0.0,0.0,1200.000000000001,1200.000000000001,-50.196666666666715,0.0,50.196666666666715
6+12+18_frozen0,2025-11-01,08:40,1.061,0.0,0.0,0.0,0.0,0.0,1200.000000000001,1200.000000000001,-147.8741,0.0,147.8741
6+12+18_frozen0,2025-11-01,08:50,1.043,0.0,0.0,0.0,0.0,0.0,1200.000000000001,1200.000000000001,-172.63995,0.0,172.63995
6+12+18_frozen0,2025-11-01,09:00,1.036,0.0,0.0,0.0,0.0,0.0,1200.000000000001,1200.000000000001,-142.01458333333335,0.0,142.01458333333335
6+12+18_frozen0,2025-11-01,09:10,1.0147,0.0,0.0,0.0,0.0,0.0,1200.000000000001,1200.000000000001,-195.49698333333328,0.0,195.49698333333328
6+12+18_frozen0,2025-11-01,09:20,0.9922,0.0,0.0,0.0,0.0,0.0,1200.000000000001,1200.000000000001,-223.1935999999999,0.0,223.1935999999999
6+12+18_frozen0,2025-11-01,09:30,0.97,0.0,0.0,0.0,0.0,0.0,1200.000000000001,1200.000000000001,-226.86874999999992,0.0,226.86874999999992
6+12+18_frozen0,2025-11-01,09:40,0.9422,0.0,0.0,0.0,279.1180611111111,0.0,1200.000000000001,1451.206255000001,-321.858,0.0,42.7399388888889
6+12+18_frozen0,2025-11-01,09:50,0.9569,0.0,0.0,0.0,0.0,0.0,1451.206255000001,1451.206255000001,-381.0406333333333,0.0,381.0406333333333
6+12+18_frozen0,2025-11-01,10:00,0.9977,0.0,0.0,0.0,0.0,0.0,1451.206255000001,1451.206255000001,-384.70208333333323,0.0,384.70208333333323
6+12+18_frozen0,2025-11-01,10:10,0.9919,0.0,0.0,0.0,0.0,0.0,1451.206255000001,1451.206255000001,-438.4203166666667,0.0,438.4203166666667
6+12+18_frozen0,2025-11-01,10:20,0.9588,0.0,0.0,0.0,0.0,0.0,1451.206255000001,1451.206255000001,-473.71350000000007,0.0,473.71350000000007
6+12+18_frozen0,2025-11-01,10:30,0.9549,0.0,0.0,0.0,304.4965694444439,0.0,1451.206255000001,1725.2531675000005,-481.11958333333337,0.0,176.6230138888895
6+12+18_frozen0,2025-11-01,10:40,0.9839,0.0,0.0,0.0,473.32148055555535,0.0,1725.2531675000005,2151.2425000000003,-533.98315,0.0,60.66166944444467
6+12+18_frozen0,2025-11-01,10:50,0.799,0.0,0.0,0.0,537.6891666666668,0.0,2151.2425000000003,2635.1627500000004,-618.2709833333332,0.0,80.58181666666644
6+12+18_frozen0,2025-11-01,11:00,0.5025,0.0,0.0,0.0,0.0,0.0,2635.1627500000004,2635.1627500000004,-674.3329166666665,0.0,674.3329166666665
6+12+18_frozen0,2025-11-01,11:10,0.4662,0.0,0.0,0.0,596.3656861111114,0.0,2635.1627500000004,3171.8918675000004,-655.8031999999998,0.0,59.437513888888475
6+12+18_frozen0,2025-11-01,11:20,0.5007,0.0,0.0,0.0,619.8312638888889,0.0,3171.8918675000004,3729.7400050000006,-655.0142333333333,0.0,35.18296944444444
6+12+18_frozen0,2025-11-01,11:30,0.4827,0.0,0.0,0.0,625.9725166666665,0.0,3729.7400050000006,4293.11527,-686.8083333333332,0.0,60.83581666666669
6+12+18_frozen0,2025-11-01,11:40,0.4785,0.0,0.0,0.0,552.8542611111111,0.0,4293.11527,4790.684105,-680.2283,0.0,127.37403888888889
6+12+18_frozen0,2025-11-01,11:50,0.4662,0.0,0.0,0.0,531.539505555555,0.0,4790.684105,5269.06966,-669.0919666666666,0.0,137.5524611111116
6+12+18_frozen0,2025-11-01,12:00,0.4432,0.0,0.0,0.0,516.9043666666664,0.0,5269.06966,5734.28359,-676.4316666666666,0.0,159.5273000000002
6+12+18_frozen0,2025-11-01,12:10,0.4411,0.0,0.0,0.0,566.2219111111115,0.0,5734.28359,6243.88331,-686.2773333333334,0.0,120.05542222222198
6+12+18_frozen0,2025-11-01,12:20,0.4551,0.0,0.0,0.0,576.325672222222,0.0,6243.88331,6762.5764149999995,-679.8902666666665,0.0,103.56459444444454
6+12+18_frozen0,2025-11-01,12:30,0.4463,0.0,0.0,0.0,546.5269750000001,0.0,6762.5764149999995,7254.4506925,-646.9633333333334,0.0,100.43635833333326
6+12+18_frozen0,2025-11-01,12:40,0.4113,0.0,0.0,0.0,462.888661111111,0.0,7254.4506925,7671.0504875,-596.0197333333333,0.0,133.13107222222231
6+12+18_frozen0,2025-11-01,12:50,0.5682,0.0,0.0,0.0,433.59098888888906,0.0,7671.0504875,8061.2823775,-573.1711999999999,0.0,139.58021111111083
6+12+18_frozen0,2025-11-01,13:00,0.8279,0.0,0.0,0.0,473.7919333333333,0.0,8061.2823775,8487.6951175,-567.46875,0.0,93.6768166666667
6+12+18_frozen0,2025-11-01,13:10,0.8636,0.0,0.0,0.0,382.4121500000001,0.0,8487.6951175,8831.8660525,-528.5930666666666,0.0,146.18091666666646
6+12+18_frozen0,2025-11-01,13:20,0.8416,0.0,0.0,0.0,340.6990750000001,0.0,8831.8660525,9138.495219999999,-510.78755,0.0,170.0884749999999
6+12+18_frozen0,2025-11-01,13:30,0.8618,0.0,0.0,0.0,385.31387500000005,0.0,9138.495219999999,9485.2777075,-517.6941666666667,0.0,132.3802916666666
6+12+18_frozen0,2025-11-01,13:40,0.8623,0.0,0.0,0.0,344.36135000000013,0.0,9485.2777075,9795.202922499999,-492.1327666666666,0.0,147.77141666666648
6+12+18_frozen0,2025-11-01,13:50,0.9026,0.0,0.0,0.0,281.73916666666685,0.0,9795.202922499999,10048.768172499998,-443.2170166666666,0.0,161.47784999999976
6+12+18_frozen0,2025-11-01,14:00,0.9754,0.0,0.0,0.0,250.68581666666677,0.0,10048.768172499998,10274.385407499998,-390.5979166666666,0.0,139.91209999999984
6+12+18_frozen0,2025-11-01,14:10,1.0002,0.0,0.0,0.0,186.33350000000064,0.0,10274.385407499998,10442.085557499999,-345.30268333333333,0.0,158.9691833333327
6+12+18_frozen0,2025-11-01,14:20,0.9978,0.0,0.0,0.0,139.7675250000001,0.0,10442.085557499999,10567.87633,-310.92931666666664,0.0,171.16179166666655
6+12+18_frozen0,2025-11-01,14:30,1.0271,0.0,0.0,0.0,128.63211666666678,0.0,10567.87633,10683.645235,-278.2904166666667,0.0,149.65829999999994
6+12+18_frozen0,2025-11-01,14:40,1.0906,0.0,0.0,0.0,91.17589999999996,0.0,10683.645235,10765.703545,-234.88455000000005,0.0,143.7086500000001
6+12+18_frozen0,2025-11-01,14:50,0.9376,0.0,0.0,0.0,38.10717222222229,0.0,10765.703545,10800.0,-197.41535,0.0,159.3081777777777
6+12+18_frozen0,2025-11-01,15:00,0.6694,13.033366666666552,13.033366666666552,0.0,0.0,-0.0,10800.0,10800.0,-154.66291666666666,0.0,167.6962833333332
6+12+18_frozen0,2025-11-01,15:10,0.66,16.933122222222124,16.933122222222124,0.0,0.0,0.0,10800.0,10800.0,-79.44839999999999,0.0,96.38152222222212
6+12+18_frozen0,2025-11-01,15:20,0.7217,70.26246111111116,70.26246111111116,0.0,-0.0,0.0,10800.0,10800.0,-19.615333333333258,0.0,89.87779444444442
6+12+18_frozen0,2025-11-01,15:30,0.7308,135.20132499999997,135.20132499999997,0.0,-0.0,0.0,10800.0,10800.0,15.293333333333294,0.0,119.90799166666667
6+12+18_frozen0,2025-11-01,15:40,0.7534,191.78424444444443,191.78424444444443,0.0,-0.0,0.0,10800.0,10800.0,58.287983333333386,0.0,133.49626111111104
6+12+18_frozen0,2025-11-01,15:50,0.7823,197.69122222222208,197.69122222222208,0.0,-0.0,0.0,10800.0,10800.0,85.81623333333337,0.0,111.87498888888871
6+12+18_frozen0,2025-11-01,16:00,0.8055,226.88284999999988,226.88284999999988,0.0,-0.0,0.0,10800.0,10800.0,127.87166666666667,0.0,99.01118333333321
6+12+18_frozen0,2025-11-01,16:10,0.8271,303.0801166666666,303.0801166666666,0.0,-0.0,0.0,10800.0,10800.0,237.1602833333333,0.0,65.91983333333329
6+12+18_frozen0,2025-11-01,16:20,0.8519,344.01412777777773,344.01412777777773,0.0,0.0,-0.0,10800.0,10800.0,291.40706666666665,0.0,52.60706111111108
6+12+18_frozen0,2025-11-01,16:30,0.8791,330.5214833333332,330.5214833333332,0.0,0.0,-0.0,10800.0,10800.0,293.1020833333333,0.0,37.41939999999988
6+12+18_frozen0,2025-11-01,16:40,0.9024,417.64761388888894,417.64761388888894,0.0,-0.0,0.0,10800.0,10800.0,359.26803333333334,0.0,58.379580555555606
6+12+18_frozen0,2025-11-01,16:50,0.9163,422.1752333333335,422.1752333333335,0.0,-0.0,0.0,10800.0,10800.0,393.90116666666665,0.0,28.27406666666684
6+12+18_frozen0,2025-11-01,17:00,0.9264,361.1964499999999,361.1964499999999,0.0,0.0,-0.0,10800.0,10800.0,379.82458333333335,18.628133333333437,0.0
6+12+18_frozen0,2025-11-01,17:10,0.9462,406.4029944444446,406.4029944444446,0.0,0.0,0.0,10800.0,10800.0,406.2792166666666,0.0,0.12377777777794563
6+12+18_frozen0,2025-11-01,17:20,0.9742,464.50354166666665,464.50354166666665,0.0,0.0,-0.0,10800.0,10800.0,452.41948333333335,0.0,12.084058333333303
6+12+18_frozen0,2025-11-01,17:30,0.9862,457.84850833333314,457.84850833333314,0.0,0.0,-0.0,10800.0,10800.0,468.77666666666664,10.9281583333335,0.0
6+12+18_frozen0,2025-11-01,17:40,0.976,470.77314166666645,470.77314166666645,0.0,0.0,0.0,10800.0,10800.0,431.08521666666667,0.0,39.68792499999978
6+12+18_frozen0,2025-11-01,17:50,1.0742,176.9959416666684,176.9959416666684,0.0,0.0,292.8840638888871,10800.0,10474.57326234568,415.7648333333333,0.0,54.11517222222221
6+12+18_frozen0,2025-11-01,18:00,1.2313,0.0,0.0,0.0,0.0,466.2472361111109,10474.57326234568,9956.52077777778,435.97333333333336,0.0,30.27390277777755
6+12+18_frozen0,2025-11-01,18:10,1.2561,0.0,0.0,0.0,0.0,466.5276749999999,9956.52077777778,9438.156694444446,441.00669999999997,0.0,25.520974999999908
6+12+18_frozen0,2025-11-01,18:20,1.2447,0.0,0.0,0.0,0.0,462.61749166666664,9438.156694444446,8924.13725925926,448.68061666666665,0.0,13.936874999999986
6+12+18_frozen0,2025-11-01,18:30,1.2545,0.0,0.0,0.0,0.0,479.4633333333335,8924.13725925926,8391.400222222223,455.53666666666663,0.0,23.926666666666847
6+12+18_frozen0,2025-11-01,18:40,1.2522,0.0,0.0,0.0,0.0,456.3026,8391.400222222223,7884.397333333333,435.9628,0.0,20.33979999999997
6+12+18_frozen0,2025-11-01,18:50,1.2881,0.0,0.0,0.0,0.0,452.66231666666675,7884.397333333333,7381.439203703703,429.1314666666666,0.0,23.530850000000157
6+12+18_frozen0,2025-11-01,19:00,1.3466,0.0,0.0,0.0,0.0,460.5674999999999,7381.439203703703,6869.697537037036,433.3116666666666,0.0,27.25583333333327
6+12+18_frozen0,2025-11-01,19:10,1.3523,0.0,0.0,0.0,0.0,466.1218916666665,6869.697537037036,6351.784324074074,411.1180333333333,0.0,55.0038583333332
